 X0/lambda deviation_0_X deviation_0_Y deviation_0_Z
  1.300000000000000E-01 -3.159333328974427E-01 -3.449224896244827E-01 -1.465668134697652E-01
  1.308333333333333E-01 -2.971112309644853E-01 -3.261003876915439E-01 -1.465668134697652E-01
  1.316666666666667E-01 -2.782891290315280E-01 -3.072782857585866E-01 -1.465668134697652E-01
  1.325000000000000E-01 -2.531929931209306E-01 -2.884561838256477E-01 -1.465668134697652E-01
  1.333333333333333E-01 -2.343708911879918E-01 -2.696340818926904E-01 -1.465668134697652E-01
  1.341666666666667E-01 -2.155487892550344E-01 -2.508119799597331E-01 -1.402927794921159E-01
  1.350000000000000E-01 -1.967266873220956E-01 -2.319898780267943E-01 -1.402927794921159E-01
  1.358333333333333E-01 -1.716305514114797E-01 -2.131677760938370E-01 -1.402927794921159E-01
  1.366666666666667E-01 -1.528084494785409E-01 -1.943456741608982E-01 -1.402927794921159E-01
  1.375000000000000E-01 -1.339863475455836E-01 -1.755235722279409E-01 -1.402927794921159E-01
  1.383333333333333E-01 -1.088902116349861E-01 -1.567014702949835E-01 -1.340187455144665E-01
  1.391666666666667E-01 -9.006810970202879E-02 -1.378793683620448E-01 -1.340187455144665E-01
  1.400000000000000E-01 -7.124600776909000E-02 -1.190572664290874E-01 -1.340187455144665E-01
  1.408333333333333E-01 -5.242390583613267E-02 -1.002351644961486E-01 -1.340187455144665E-01
  1.416666666666667E-01 -2.732776992553525E-02 -8.141306256319129E-02 -1.340187455144665E-01
  1.425000000000000E-01 -8.505667992596451E-03 -6.259096063025249E-02 -1.277447115368171E-01
  1.433333333333333E-01  1.031643394036088E-02 -4.376885869729516E-02 -1.277447115368171E-01
  1.441666666666667E-01  3.541256985095830E-02 -2.494675676433783E-02 -1.277447115368171E-01
  1.450000000000000E-01  5.423467178391563E-02 -1.239868880903912E-02 -1.277447115368171E-01
  1.458333333333333E-01  7.305677371685443E-02  6.423413123899684E-03 -1.277447115368171E-01
  1.466666666666667E-01  9.187887564981176E-02  2.524551505685701E-02 -1.214706775591631E-01
  1.475000000000000E-01  1.169750115604092E-01  4.406761698981434E-02 -1.214706775591631E-01
  1.483333333333333E-01  1.357971134933665E-01  6.288971892275314E-02 -1.214706775591631E-01
  1.491666666666667E-01  1.546192154263053E-01  8.171182085571048E-02 -1.214706775591631E-01
  1.500000000000000E-01  1.734413173592626E-01  9.425988881100918E-02 -1.214706775591631E-01
  1.508333333333333E-01  1.985374532698601E-01  1.130819907439480E-01 -1.151966435815138E-01
  1.516666666666667E-01  2.173595552028174E-01  1.319040926769053E-01 -1.151966435815138E-01
  1.525000000000000E-01  2.361816571357562E-01  1.507261946098626E-01 -1.151966435815138E-01
  1.533333333333333E-01  2.550037590687135E-01  1.695482965428014E-01 -1.151966435815138E-01
  1.541666666666667E-01  2.800998949793109E-01  1.820963644981002E-01 -1.151966435815138E-01
  1.550000000000000E-01  2.989219969122497E-01  2.009184664310575E-01 -1.089226096038644E-01
  1.558333333333333E-01  3.177440988452071E-01  2.197405683639963E-01 -1.089226096038644E-01
  1.566666666666667E-01  3.365662007781644E-01  2.322886363192950E-01 -1.089226096038644E-01
  1.575000000000000E-01  3.553883027111032E-01  2.511107382522523E-01 -1.089226096038644E-01
  1.583333333333333E-01  3.804844386217006E-01  2.699328401852097E-01 -1.026485756262151E-01
  1.591666666666667E-01  3.993065405546580E-01  2.824809081405084E-01 -1.026485756262151E-01
