 X0/lambda deviation_CS_X deviation_CS_Y deviation_CS_Z
  1.325000000000000E-01  1.164278276479681E+00  1.011476359386262E+00  6.026890756717696E+00
  1.333333333333333E-01  1.178187822739665E+00  1.020590870201090E+00  5.962678157402181E+00
  1.341666666666667E-01  1.185834539909044E+00  1.029715300368194E+00  5.898436887047832E+00
  1.350000000000000E-01  1.199767722170533E+00  1.045124747364482E+00  5.834173862052743E+00
  1.358333333333333E-01  1.213714560710415E+00  1.054272205725647E+00  5.769896032900753E+00
  1.366666666666667E-01  1.221402245516130E+00  1.063432770795055E+00  5.705610383681361E+00
  1.375000000000000E-01  1.235380067173742E+00  1.072607502695790E+00  5.641323931594844E+00
  1.383333333333333E-01  1.249375212866711E+00  1.081797460191273E+00  5.577043726442105E+00
  1.391666666666667E-01  1.257114868173518E+00  1.091003700568402E+00  5.512776850099103E+00
  1.400000000000000E-01  1.271148318865280E+00  1.100227279520330E+00  5.448530415975513E+00
  1.408333333333333E-01  1.278928712926957E+00  1.109469251029882E+00  5.384311568457434E+00
  1.416666666666667E-01  1.293005332243384E+00  1.112456633274893E+00  5.320127482333739E+00
  1.425000000000000E-01  1.307105354620702E+00  1.121738544422412E+00  5.255985362205940E+00
  1.433333333333333E-01  1.314955955584301E+00  1.131041998646099E+00  5.191892441881182E+00
  1.441666666666667E-01  1.329106410176932E+00  1.140368041920611E+00  5.127855983748149E+00
  1.450000000000000E-01  1.343283888958129E+00  1.149717717927629E+00  5.063883278135659E+00
  1.458333333333333E-01  1.351215559802633E+00  1.159092067939958E+00  4.999981642653561E+00
  1.466666666666667E-01  1.365450689698911E+00  1.168492130705568E+00  4.936158421515822E+00
  1.475000000000000E-01  1.373442406771514E+00  1.177918942331972E+00  4.872420984845425E+00
  1.483333333333333E-01  1.387739971968237E+00  1.187373536170838E+00  4.808776727960914E+00
  1.491666666666667E-01  1.402070541082833E+00  1.196856942702701E+00  4.745233070644266E+00
  1.500000000000000E-01  1.410161266554415E+00  1.200096155444440E+00  4.681797456389894E+00
  1.508333333333333E-01  1.424561399267165E+00  1.209640266745029E+00  4.618477351634524E+00
  1.516666666666667E-01  1.438998084551437E+00  1.219216263805291E+00  4.555280244967735E+00
  1.525000000000000E-01  1.447198463983966E+00  1.228825164474193E+00  4.492213646322855E+00
  1.533333333333333E-01  1.461711777188365E+00  1.238467983157538E+00  4.429285086148109E+00
  1.541666666666667E-01  1.469991123859505E+00  1.241871696726415E+00  4.366502114557716E+00
  1.550000000000000E-01  1.484585735452972E+00  1.251585380314846E+00  4.303872300462755E+00
  1.558333333333333E-01  1.492948703232361E+00  1.261336003340761E+00  4.241403230681599E+00
  1.566666666666667E-01  1.507629249959535E+00  1.264850531326432E+00  4.179102509029724E+00
  1.575000000000000E-01  1.516080457942507E+00  1.274678027719242E+00  4.116977755388730E+00
  1.583333333333333E-01  1.530851540726683E+00  1.284545449913811E+00  4.055036604754353E+00
  1.591666666666667E-01  1.545669605121125E+00  1.288179751073665E+00  3.993286706263314E+00
  1.600000000000000E-01  1.554261753002280E+00  1.298129981952995E+00  3.931735722198947E+00
  1.608333333333333E-01  1.569177183117716E+00  1.308123086920089E+00  3.870391326975297E+00
  1.616666666666667E-01  1.577868953114249E+00  1.311886005780179E+00  3.809261206099675E+00
  1.625000000000000E-01  1.592886251230917E+00  1.321967775598544E+00  3.742079021135873E+00
  1.633333333333333E-01  1.601682124350261E+00  1.325821292747638E+00  3.681400544533846E+00
  1.641666666666667E-01  1.610531715714850E+00  1.335995584619437E+00  3.620959454660927E+00
  1.650000000000000E-01  1.625710162867662E+00  1.346217571673473E+00  3.560763470587644E+00
  1.658333333333333E-01  1.634670495593293E+00  1.350214169262053E+00  3.500820316963201E+00
  1.666666666666667E-01  1.649961873635919E+00  1.360534389455563E+00  3.441137722846510E+00
  1.675000000000000E-01  1.659037314753356E+00  1.364631103092365E+00  3.381723420515111E+00
  1.683333333333333E-01  1.674445966413914E+00  1.368779277515830E+00  3.322585144251928E+00
  1.691666666666667E-01  1.683640833851431E+00  1.379253874535624E+00  3.263730629109872E+00
  1.700000000000000E-01  1.692897017785953E+00  1.383507748389657E+00  3.205167609654301E+00
  1.708333333333333E-01  1.708489612368231E+00  1.394089883482902E+00  3.146903818683386E+00
  1.716666666666667E-01  1.717871603124996E+00  1.398453122462125E+00  3.088946985926391E+00
